Team,w,l,p,a,d
AtlantaHawks,29,53,9291,9785,-494
BostonCeltics,49,33,9217,8853,364
BrooklynNets,42,40,9200,9206,-6
CharlotteHornets,39,43,9077,9167,-90
ChicagoBulls,22,60,8602,9292,-690
ClevelandCavaliers,19,63,8569,9357,-788
DallasMavericks,33,49,8930,9035,-105
DenverNuggets,54,28,9077,8753,324
DetroitPistons,41,41,8774,8794,-20
GoldenStateWarriors,57,25,9651,9121,530
HoustonRockets,53,29,9340,8949,391
IndianaPacers,48,34,8856,8583,273
LosAngelesClippers,48,34,9438,9368,70
LosAngelesLakers,37,45,9168,9309,-141
MemphisGrizzlies,33,49,8487,8700,-213
MiamiHeat,39,43,8667,8686,-19
MilwaukeeBucks,60,22,9684,8957,727
MinnesotaTimberwolves,36,46,9225,9348,-123
NewOrleansPelicans,33,49,9463,9572,-109
NewYorkKnicks,17,65,8577,9332,-755
OklahomaCityThunder,49,33,9389,9110,279
OrlandoMagic,42,40,8799,8741,58
Philadelphia76ers,51,31,9446,9225,221
PhoenixSuns,19,63,8815,9581,-766
PortlandTrailBlazers,53,29,9405,9061,344
SacramentoKings,39,43,9364,9456,-92
SanAntonioSpurs,48,34,9159,9021,138
TorontoRaptors,58,24,9381,8882,499
UtahJazz,50,32,9159,8728,431
WashingtonWizards,32,50,9348,9586,-238
